Playback Hour,Operating System,Browser,Delivery Type,City,Country,ISP,State,Content Quality Entitled,Entitlement Type,Video Type,Audio Language,Title,,,
11/05/2012 0:00:00,CELL_OS,,streaming,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Dark Shadows,,,
11/11/2012 2:00:00,CELL_OS,,streaming,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Campaign (2012),,,
11/11/2012 2:00:00,CELL_OS,,streaming,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Campaign (2012),,,
11/11/2012 2:00:00,CELL_OS,,streaming,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Campaign (2012),,,
07/10/2013 1:00:00,Win32NT 6.1.7601.65536,Firefox 22.0,streaming,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Despicable Me,,,
08/11/2013 0:00:00,Windows 7,Chrome 28.0.1500.95,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,A View To A Kill,,,
01/10/2014 0:00:00,Win32NT 6.1.7601.65536,Chrome 31.0.1650.63,streaming,dryridge,us,Cincinnati_Bell_Telephone,ky,,,,,Pilot-Veronica Mars Season One,,,
01/10/2014 8:00:00,Linux 3.1.10-g4776c68,Safari 5.0,,dryridge,us,Cincinnati_Bell_Telephone,ky,,,,,Pilot-Veronica Mars Season One,,,
02/02/2014 6:00:00,CELL_OS,,streaming,dryridge,us,Cincinnati_Bell_Telephone,ky,,,,,Pilot-Veronica Mars Season One,,,
02/09/2014 4:00:00,CELL_OS,,streaming,dryridge,us,Cincinnati_Bell_Telephone,ky,,,,,Pilot-Veronica Mars Season One,,,
02/09/2014 5:00:00,CELL_OS,,streaming,dryridge,us,Cincinnati_Bell_Telephone,ky,,,,,Credit Where Credit's Due-Veronica Mars Season One,,,
02/09/2014 6:00:00,CELL_OS,,streaming,dryridge,us,Cincinnati_Bell_Telephone,ky,,,,,Meet John Smith-Veronica Mars Season One,,,
03/03/2014 1:00:00,Linux,,streaming,dryridge,us,Cincinnati_Bell_Telephone,ky,,,,,Pilot-Veronica Mars Season One,,,
03/08/2014 1:00:00,Win32NT 6.1.7601.65536,Firefox 27.0,streaming,independence,us,Cincinnati_Bell_Telephone,ky,,,,,Cover For Me-Pretty Little Liars: The Complete Fourth Season,,,
03/13/2014 3:00:00,iPhone OS_7.1,,streaming,dryridge,us,Cincinnati_Bell_Telephone,ky,,,,,Credit Where Credit's Due-Veronica Mars Season One,,,
03/13/2014 4:00:00,iPhone OS_7.1,,streaming,dryridge,us,Cincinnati_Bell_Telephone,ky,,,,,Credit Where Credit's Due-Veronica Mars Season One,,,
03/13/2014 5:00:00,iPhone OS_7.1,,streaming,dryridge,us,Cincinnati_Bell_Telephone,ky,,,,,Credit Where Credit's Due-Veronica Mars Season One,,,
03/13/2014 5:00:00,iPhone OS_7.1,,streaming,dryridge,us,Cincinnati_Bell_Telephone,ky,,,,,Meet John Smith-Veronica Mars Season One,,,
03/19/2014 3:00:00,iPhone OS_7.1,,streaming,walton,us,Cincinnati_Bell_Telephone,ky,,,,,Danny Indemnity-Twisted Season 1,,,
03/19/2014 5:00:00,iPhone OS_7.1,,streaming,walton,us,Cincinnati_Bell_Telephone,ky,,,,,Danny Indemnity-Twisted Season 1,,,
04/03/2014 20:00:00,Linux 3.1.10-g4776c68,Safari 5.0,,dryridge,us,roadrunner,ky,,,,,Meet John Smith-Veronica Mars Season One,,,
06/17/2014 0:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Covert Affairs - Pilot-Covert Affairs Season 1,,,
06/17/2014 0:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Covert Affairs - Pilot-Covert Affairs Season 1,,,
06/17/2014 2:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Walter's Walk-Covert Affairs Season 1,,,
06/17/2014 3:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,South Bound Suarez-Covert Affairs Season 1,,,
06/17/2014 19:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,South Bound Suarez-Covert Affairs Season 1,,,
06/17/2014 20:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,No Quarter-Covert Affairs Season 1,,,
06/17/2014 21:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,In the Light-Covert Affairs Season 1,,,
06/17/2014 22:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Houses of the Holy-Covert Affairs Season 1,,,
06/17/2014 23:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Communication Breakdown-Covert Affairs Season 1,,,
06/18/2014 1:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,What Is And What Should Never Be-Covert Affairs Season 1,,,
06/18/2014 1:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,What Is And What Should Never Be-Covert Affairs Season 1,,,
06/18/2014 2:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Fool in the Rain-Covert Affairs Season 1,,,
06/18/2014 3:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,I Can't Quit You Baby-Covert Affairs Season 1,,,
06/18/2014 3:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,When the Levee Breaks-Covert Affairs Season 1,,,
06/18/2014 4:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Begin the Begin-Covert Affairs Season 2,,,
06/18/2014 5:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Good Advices-Covert Affairs Season 2,,,
06/18/2014 6:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Bang and Blame-Covert Affairs Season 2,,,
06/18/2014 17:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Bang and Blame-Covert Affairs Season 2,,,
06/18/2014 18:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,All The Right Friends-Covert Affairs Season 2,,,
06/18/2014 19:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Around The Sun-Covert Affairs Season 2,,,
06/18/2014 20:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,The Outsiders-Covert Affairs Season 2,,,
06/18/2014 21:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Half A World Away-Covert Affairs Season 2,,,
06/18/2014 22:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Welcome To The Occupation-Covert Affairs Season 2,,,
06/19/2014 1:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Welcome To The Occupation-Covert Affairs Season 2,,,
06/19/2014 2:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Welcome To The Occupation-Covert Affairs Season 2,,,
06/19/2014 3:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Sad Professor-Covert Affairs Season 2,,,
06/19/2014 3:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,World Leader Pretend-Covert Affairs Season 2,,,
06/20/2014 3:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,World Leader Pretend-Covert Affairs Season 2,,,
06/20/2014 3:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,The Wake-Up Bomb-Covert Affairs Season 2,,,
06/20/2014 3:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Uberlin-Covert Affairs Season 2,,,
06/20/2014 4:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,A Girl Like You-Covert Affairs Season 2,,,
06/20/2014 5:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Horse to Water-Covert Affairs Season 2,,,
06/20/2014 23:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Horse to Water-Covert Affairs Season 2,,,
06/21/2014 2:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Horse to Water-Covert Affairs Season 2,,,
06/21/2014 3:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,What's the Frequency,Kenneth?-Covert Affairs Season 2,,
06/21/2014 3:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Letters Never Sent-Covert Affairs Season 2,,,
06/21/2014 4:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Hang On To Yourself-Covert Affairs Season 3,,,
06/22/2014 4:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Hang On To Yourself-Covert Affairs Season 3,,,
06/22/2014 4:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Sound and Vision-Covert Affairs Season 3,,,
06/22/2014 4:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Sound and Vision-Covert Affairs Season 3,,,
06/22/2014 19:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Sound and Vision-Covert Affairs Season 3,,,
06/22/2014 19:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,The Last Thing You Should Do-Covert Affairs Season 3,,,
06/22/2014 20:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Speed of Life-Covert Affairs Season 3,,,
06/23/2014 1:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Speed of Life-Covert Affairs Season 3,,,
06/23/2014 1:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,This Is Not America-Covert Affairs Season 3,,,
06/23/2014 2:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Hello Stranger-Covert Affairs Season 3,,,
06/23/2014 2:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Loving the Alien-Covert Affairs Season 3,,,
06/23/2014 2:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Glass Spider-Covert Affairs Season 3,,,
